Bus_name,Var_type,Var_min,Var_pred,Var_mag,Var_max,Var_slack
B6,Qg,-6,33.3801046898178,13.3801046898178,24,-20
B1,Qg,-20,4.09247081598113,-14.5933002523892,10,-18.6857710683703
B2,Qg,-40,36.3600620191919,50,50,13.6399379808081
B8,Qg,-6,29.2733886504775,24,24,-5.27338865047755
B3,Qg,0,37.2057407603675,40,40,2.79425923963247
B1,Pg,0,281.096971302517,279.099583588799,332.4,-1.99738771371795
B2,Pg,0,40.0018683947605,41.4018683947605,140,1.4
B8,Vg,0.9,1.05033795925567,1.09103909322333,1.1,0.0407011339676616
B3,Vg,0.9,0.994697192043478,1.00503688300383,1.1,0.0103396909603565
B6,Vg,0.9,1.0441263287178,1.03444343651352,1.1,-0.00968289220427322
B1,Vg,0.9,1.05699428168818,1.04787696907119,1.1,-0.00911731261698466
B2,Vg,0.9,1.02498343329636,1.03026619290472,1.1,0.00528275960835421
B3,Pg,0,0,0,0,-0
B6,Pg,0,0,0,0,-0
B8,Pg,0,0,0,0,-0
B2,Pl,17.36,26.04,21.7,26.04,-0
B3,Pl,75.36,113.04,94.2,113.04,-0
B4,Pl,38.24,57.36,47.8,57.36,-0
B5,Pl,6.08,9.12,7.6,9.12,-0
B6,Pl,8.96,13.44,11.2,13.44,-0
B9,Pl,23.6,35.4,29.5,35.4,-0
B10,Pl,14.4,21.6,18,21.6,-0
B11,Pl,5.6,8.4,7,8.4,-0
B12,Pl,4.88,7.32,6.1,7.32,-0
B13,Pl,21.6,32.4,27,32.4,-0
B15,Pl,24,36,30,36,-0
B14,Bs,0,0,0,0,-0
