TSTimePointResult
Time,Load BUS4 #1 MW,Load BUS4 #1 Mvar,Load BUS4 #1 Total Load MVA,Load BUS8 #1 V pu,Load BUS8 #1 MW,Load BUS8 #1 Mvar,Load BUS8 #1 Total Load MVA,Load BUS8 #1 V (kV),Load BUS8 #2 MW,Load BUS8 #2 Mvar,Load BUS8 #2 Total Load MVA
0.000000,2997.9691,0.0000,2997.9691,0.9999,2699.9420,1620.0001,3148.6643,13.7993,300.0000,180.0000,349.8571
0.041667,2997.9540,0.0000,2997.9540,0.9999,2699.9208,1620.0001,3148.6462,13.7992,300.0000,180.0000,349.8571
0.083333,2997.9525,0.0000,2997.9525,0.9999,2699.9186,1620.0001,3148.6442,13.7992,300.0000,180.0000,349.8571
0.125000,2997.9614,0.0000,2997.9614,0.9999,2699.9313,1620.0001,3148.6552,13.7993,300.0000,180.0000,349.8571
0.166667,2997.9744,0.0000,2997.9744,1.0000,2699.9496,1620.0001,3148.6709,13.7993,300.0000,180.0000,349.8571
0.208333,2997.9855,0.0000,2997.9855,1.0000,2699.9651,1620.0001,3148.6841,13.7994,300.0000,180.0000,349.8571
0.250000,2997.9910,0.0000,2997.9910,1.0000,2699.9731,1620.0001,3148.6910,13.7994,300.0000,180.0000,349.8571
0.291667,2997.9916,0.0000,2997.9916,1.0000,2699.9739,1620.0001,3148.6917,13.7994,300.0000,180.0000,349.8571
0.333333,2997.9898,0.0000,2997.9898,1.0000,2699.9714,1620.0001,3148.6895,13.7994,300.0000,180.0000,349.8571
0.375000,2997.9895,0.0000,2997.9895,1.0000,2699.9708,1620.0001,3148.6890,13.7994,300.0000,180.0000,349.8571
0.416667,2997.9925,0.0000,2997.9925,1.0000,2699.9752,1620.0001,3148.6928,13.7994,300.0000,180.0000,349.8571
0.458333,2997.9996,0.0000,2997.9996,1.0000,2699.9853,1620.0001,3148.7015,13.7995,300.0000,180.0000,349.8571
0.500000,2998.0089,0.0000,2998.0089,1.0000,2699.9983,1620.0001,3148.7126,13.7995,300.0000,180.0000,349.8571
0.541667,2998.0175,0.0000,2998.0175,1.0000,2700.0105,1620.0001,3148.7231,13.7995,300.0000,180.0000,349.8571
0.583333,2998.0228,0.0000,2998.0228,1.0000,2700.0179,1620.0001,3148.7294,13.7996,300.0000,180.0000,349.8571
0.625000,2998.0240,0.0000,2998.0240,1.0000,2700.0196,1620.0001,3148.7309,13.7996,300.0000,180.0000,349.8571
0.666667,2998.0213,0.0000,2998.0213,1.0000,2700.0160,1620.0001,3148.7278,13.7996,300.0000,180.0000,349.8571
0.708333,2998.0171,0.0000,2998.0171,1.0000,2700.0099,1620.0001,3148.7226,13.7995,300.0000,180.0000,349.8571
0.750000,2998.0141,0.0000,2998.0141,1.0000,2700.0057,1620.0001,3148.7190,13.7995,300.0000,180.0000,349.8571
0.791667,2998.0108,0.0000,2998.0108,1.0000,2700.0010,1620.0001,3148.7149,13.7995,300.0000,180.0000,349.8571
0.833333,2998.0099,0.0000,2998.0099,1.0000,2699.9998,1620.0001,3148.7139,13.7995,300.0000,180.0000,349.8571
0.875000,2998.0099,0.0000,2998.0099,1.0000,2699.9998,1620.0001,3148.7139,13.7995,300.0000,180.0000,349.8571
0.916667,2998.0101,0.0000,2998.0101,1.0000,2700.0000,1620.0001,3148.7141,13.7995,300.0000,180.0000,349.8571
0.958333,2998.0095,0.0000,2998.0095,1.0000,2699.9990,1620.0001,3148.7132,13.7995,300.0000,180.0000,349.8571
1.000000,2998.0082,0.0000,2998.0082,1.0000,2699.9971,1620.0001,3148.7116,13.7995,300.0000,180.0000,349.8571
1.041667,2998.0049,0.0000,2998.0049,1.0000,2699.9926,1620.0001,3148.7077,13.7995,300.0000,180.0000,349.8571
1.083333,2998.0024,0.0000,2998.0024,1.0000,2699.9893,1620.0001,3148.7049,13.7995,300.0000,180.0000,349.8571
1.125000,2997.9994,0.0000,2997.9994,1.0000,2699.9849,1620.0001,3148.7011,13.7995,300.0000,180.0000,349.8571
1.166667,2997.9982,0.0000,2997.9982,1.0000,2699.9832,1620.0001,3148.6997,13.7994,300.0000,180.0000,349.8571
1.208333,2997.9977,0.0000,2997.9977,1.0000,2699.9825,1620.0001,3148.6990,13.7994,300.0000,180.0000,349.8571
1.250000,2997.9979,0.0000,2997.9979,1.0000,2699.9828,1620.0001,3148.6993,13.7994,300.0000,180.0000,349.8571
1.291667,2997.9984,0.0000,2997.9984,1.0000,2699.9838,1620.0001,3148.7002,13.7994,300.0000,180.0000,349.8571
1.333333,2997.9988,0.0000,2997.9988,1.0000,2699.9842,1620.0001,3148.7005,13.7994,300.0000,180.0000,349.8571
1.375000,2997.9988,0.0000,2997.9988,1.0000,2699.9842,1620.0001,3148.7005,13.7994,300.0000,180.0000,349.8571
1.416667,2997.9986,0.0000,2997.9986,1.0000,2699.9840,1620.0001,3148.7003,13.7994,300.0000,180.0000,349.8571
1.458333,2997.9982,0.0000,2997.9982,1.0000,2699.9834,1620.0001,3148.6998,13.7994,300.0000,180.0000,349.8571
1.500000,2997.9982,0.0000,2997.9982,1.0000,2699.9834,1620.0001,3148.6998,13.7994,300.0000,180.0000,349.8571
1.541667,2997.9986,0.0000,2997.9986,1.0000,2699.9838,1620.0001,3148.7002,13.7994,300.0000,180.0000,349.8571
1.583333,2997.9990,0.0000,2997.9990,1.0000,2699.9846,1620.0001,3148.7008,13.7994,300.0000,180.0000,349.8571
1.625000,2998.0000,0.0000,2998.0000,1.0000,2699.9857,1620.0001,3148.7018,13.7995,300.0000,180.0000,349.8571
1.666667,2998.0005,0.0000,2998.0005,1.0000,2699.9865,1620.0001,3148.7025,13.7995,300.0000,180.0000,349.8571
1.708333,2998.0009,0.0000,2998.0009,1.0000,2699.9872,1620.0001,3148.7031,13.7995,300.0000,180.0000,349.8571
